,area_type,availability,total_sqft,bath,price,bhk
6446,Super built-up  Area,1.0,1464.0,2.0,145.0,2.0
6447,Plot  Area,1.0,1200.0,2.0,36.0,4.0
6448,Built-up  Area,1.0,861.0,2.0,36.5,2.0
6449,Super built-up  Area,1.0,1047.0,2.0,82.62,2.0
6450,Plot  Area,1.0,1200.0,2.0,75.0,2.0
6451,Plot  Area,1.0,1200.0,10.0,190.0,10.0
6452,Built-up  Area,1.0,1065.0,2.0,45.0,2.0
6453,Built-up  Area,1.0,2300.0,3.0,369.0,3.0
6454,Super built-up  Area,1.0,1000.0,2.0,62.0,2.0
6455,Super built-up  Area,1.0,1682.0,3.0,113.0,3.0
6456,Super built-up  Area,1.0,1756.0,3.0,131.0,3.0
6457,Plot  Area,1.0,4000.0,4.0,1000.0,5.0
6458,Super built-up  Area,1.0,1050.0,4.0,90.0,4.0
6459,Super built-up  Area,1.0,1238.0,2.0,67.32,2.0
6460,Super built-up  Area,1.0,814.0,2.0,42.0,2.0
6461,Built-up  Area,1.0,1145.0,2.0,46.5,2.0
6462,Super built-up  Area,1.0,965.0,2.0,34.0,2.0
6463,Super built-up  Area,1.0,750.0,2.0,36.0,2.0
6464,Built-up  Area,1.0,1300.0,2.0,55.0,3.0
6465,Super built-up  Area,0.0,1590.0,3.0,131.0,3.0
6466,Super built-up  Area,0.0,644.0,1.0,40.0,1.0
6467,Super built-up  Area,0.0,982.0,2.0,37.0,2.0
6468,Super built-up  Area,1.0,1260.0,2.0,100.0,2.0
6469,Super built-up  Area,1.0,1555.0,3.0,75.17,3.0
6470,Built-up  Area,1.0,2500.0,4.0,450.0,4.0
6471,Super built-up  Area,0.0,1225.0,2.0,48.0,2.0
6472,Super built-up  Area,1.0,1085.0,2.0,46.0,2.0
6473,Super built-up  Area,1.0,1640.0,3.0,220.0,3.0
6474,Built-up  Area,0.0,1595.0,3.0,110.0,3.0
6475,Super built-up  Area,1.0,1196.0,2.0,40.44,2.0
6476,Super built-up  Area,0.0,1859.0,3.0,108.0,3.0
6477,Super built-up  Area,0.0,1079.0,2.0,60.0,2.0
6478,Built-up  Area,1.0,550.0,1.0,27.0,2.0
6479,Super built-up  Area,1.0,1118.0,2.0,42.0,2.0
6480,Super built-up  Area,1.0,1198.0,2.0,60.0,2.0
6481,Super built-up  Area,0.0,1162.5,,30.215,3.0
6482,Super built-up  Area,1.0,1830.0,4.0,135.0,3.0
6483,Super built-up  Area,0.0,1160.0,2.0,59.0,2.0
6484,Super built-up  Area,1.0,1485.0,2.0,156.0,3.0
6485,Super built-up  Area,1.0,2070.0,3.0,135.0,3.0
6486,Plot  Area,1.0,750.0,4.0,150.0,6.0
6487,Built-up  Area,0.0,957.0,2.0,52.5,2.0
6488,Plot  Area,1.0,2400.0,4.0,310.0,5.0
6489,Super built-up  Area,0.0,1268.0,2.0,69.0,2.0
6490,Super built-up  Area,1.0,1450.0,2.0,87.0,3.0
6491,Built-up  Area,1.0,1600.0,2.0,75.0,3.0
6492,Super built-up  Area,1.0,1330.0,2.0,57.0,3.0
6493,Super built-up  Area,1.0,1355.0,2.0,65.0,3.0
6494,Super built-up  Area,1.0,1272.0,2.0,51.5,2.0
6495,Super built-up  Area,1.0,1100.0,2.0,38.49,2.0
6496,Super built-up  Area,1.0,1220.0,3.0,58.0,3.0
6497,Super built-up  Area,1.0,1075.0,2.0,46.76,2.0
6498,Super built-up  Area,1.0,800.0,2.0,55.0,2.0
6499,Super built-up  Area,1.0,995.0,2.0,34.82,2.0
6500,Built-up  Area,1.0,900.0,1.0,44.0,2.0
6501,Super built-up  Area,1.0,1140.0,2.0,42.0,2.0
6502,Super built-up  Area,1.0,1480.0,2.0,125.0,3.0
6503,Super built-up  Area,0.0,1710.0,2.0,90.63,3.0
6504,Super built-up  Area,0.0,2106.0,3.0,148.0,3.0
6505,Plot  Area,1.0,2400.0,6.0,270.0,9.0
6506,Plot  Area,1.0,3800.0,2.0,130.0,3.0
6507,Plot  Area,1.0,800.0,3.0,120.0,3.0
6508,Super built-up  Area,1.0,1602.0,2.0,104.0,2.0
6509,Super built-up  Area,1.0,1660.0,2.0,116.0,3.0
6510,Super built-up  Area,1.0,1549.0,3.0,80.0,3.0
6511,Super built-up  Area,0.0,700.0,1.0,38.0,1.0
6512,Super built-up  Area,0.0,1012.0,2.0,64.0,2.0
6513,Super built-up  Area,0.0,1469.0,3.0,89.0,3.0
6514,Super built-up  Area,0.0,1216.0,2.0,69.0,2.0
6515,Super built-up  Area,1.0,1065.0,2.0,56.13,2.0
6516,Super built-up  Area,0.0,1411.0,3.0,93.15,3.0
6517,Super built-up  Area,1.0,1400.0,2.0,57.5,2.0
6518,Super built-up  Area,1.0,1250.0,3.0,29.0,3.0
6519,Super built-up  Area,1.0,1245.0,2.0,62.0,2.0
6520,Super built-up  Area,1.0,1115.0,2.0,50.0,2.0
6521,Super built-up  Area,1.0,1000.0,2.0,35.0,2.0
6522,Super built-up  Area,0.0,1580.0,3.0,71.89,3.0
6523,Super built-up  Area,1.0,1800.0,3.0,90.0,3.0
6524,Super built-up  Area,1.0,1500.0,2.0,130.0,2.0
6525,Super built-up  Area,0.0,645.0,1.0,16.45,1.0
6526,Super built-up  Area,0.0,1275.0,3.0,44.0,3.0
6527,Super built-up  Area,1.0,1494.0,3.0,82.0,3.0
6528,Super built-up  Area,1.0,1949.0,3.0,129.0,3.0
6529,Super built-up  Area,1.0,1020.0,2.0,46.5,2.0
6530,Super built-up  Area,1.0,883.0,2.0,45.0,2.0
6531,Built-up  Area,1.0,3200.0,4.0,280.0,4.0
6532,Plot  Area,1.0,1680.0,6.0,125.0,6.0
6533,Plot  Area,1.0,2232.0,6.0,300.0,12.0
6534,Super built-up  Area,1.0,2010.0,3.0,125.0,3.0
6535,Super built-up  Area,1.0,1240.0,2.0,80.0,2.0
6536,Super built-up  Area,1.0,1213.0,2.0,63.0,2.0
6537,Super built-up  Area,1.0,1835.0,3.0,88.0,3.0
6538,Plot  Area,1.0,1800.0,10.0,185.0,9.0
6539,Super built-up  Area,1.0,2932.0,5.0,195.0,4.0
6540,Built-up  Area,1.0,3425.0,5.0,250.0,4.0
6541,Built-up  Area,1.0,945.0,2.0,45.0,2.0
6542,Super built-up  Area,1.0,1504.0,2.0,100.0,3.0
6543,Super built-up  Area,1.0,1569.0,3.0,150.0,3.0
6544,Super built-up  Area,1.0,1755.0,3.0,130.0,3.0
6545,Super built-up  Area,1.0,1760.0,3.0,140.0,3.0
6546,Super built-up  Area,0.0,1240.0,2.0,43.94,2.0
6547,Super built-up  Area,0.0,1450.0,3.0,72.54,3.0
6548,Super built-up  Area,1.0,1000.0,2.0,48.0,2.0
6549,Plot  Area,1.0,3820.0,1.0,306.0,1.0
6550,Super built-up  Area,1.0,2000.0,4.0,145.0,5.0
6551,Super built-up  Area,1.0,1215.0,2.0,59.0,2.0
6552,Plot  Area,1.0,24.0,6.0,550.0,5.0
6553,Super built-up  Area,1.0,1330.0,3.0,73.5,3.0
6554,Super built-up  Area,0.0,1178.0,2.0,75.0,2.0
6555,Plot  Area,0.0,1500.0,4.0,192.0,4.0
6556,Super built-up  Area,1.0,2040.0,2.0,59.0,2.0
6557,Super built-up  Area,0.0,2000.0,3.0,85.0,3.0
6558,Super built-up  Area,0.0,1602.0,2.0,165.0,3.0
6559,Plot  Area,1.0,1200.0,4.0,130.0,4.0
6560,Super built-up  Area,1.0,1194.0,2.0,46.0,2.0
6561,Built-up  Area,1.0,1800.0,3.0,220.0,3.0
6562,Plot  Area,1.0,2400.0,2.0,152.0,3.0
6563,Super built-up  Area,1.0,1700.0,3.0,108.0,3.0
6564,Built-up  Area,1.0,1200.0,3.0,65.0,3.0
6565,Plot  Area,1.0,1500.0,3.0,72.0,3.0
6566,Plot  Area,1.0,1240.0,3.0,165.0,3.0
6567,Built-up  Area,1.0,3000.0,3.0,400.0,3.0
6568,Built-up  Area,1.0,1737.0,3.0,85.0,3.0
6569,Plot  Area,1.0,900.0,2.0,55.0,2.0
6570,Built-up  Area,1.0,1280.0,2.0,48.0,3.0
6571,Super built-up  Area,1.0,1560.0,2.0,85.0,2.0
6572,Super built-up  Area,1.0,883.0,2.0,44.0,2.0
6573,Super built-up  Area,1.0,750.0,2.0,33.0,2.0
6574,Super built-up  Area,1.0,2400.0,3.0,140.0,4.0
6575,Super built-up  Area,1.0,900.0,2.0,45.0,2.0
6576,Super built-up  Area,1.0,1030.0,2.0,49.35,2.0
6577,Super built-up  Area,1.0,1850.0,3.0,155.0,3.0
6578,Built-up  Area,1.0,1831.0,3.0,110.0,3.0
6579,Super built-up  Area,1.0,1095.0,2.0,38.33,2.0
6580,Built-up  Area,0.0,1320.0,2.0,38.13,3.0
6581,Super built-up  Area,1.0,1272.5,2.0,40.72,3.0
6582,Built-up  Area,1.0,1000.0,2.0,61.0,2.0
6583,Super built-up  Area,1.0,1820.0,3.0,85.4,3.0
6584,Super built-up  Area,1.0,1075.0,2.0,41.0,3.0
6585,Plot  Area,0.0,1500.0,3.0,83.0,3.0
6586,Super built-up  Area,1.0,360.0,1.0,16.9,1.0
6587,Super built-up  Area,1.0,925.0,1.0,40.7,1.0
6588,Super built-up  Area,0.0,1140.0,2.0,70.93,2.0
6589,Super built-up  Area,0.0,1145.0,2.0,58.4,2.0
6590,Super built-up  Area,1.0,1862.0,3.0,120.0,3.0
6591,Super built-up  Area,1.0,947.0,2.0,43.0,2.0
6592,Built-up  Area,1.0,697.0,4.0,211.0,4.0
6593,Plot  Area,1.0,700.0,3.0,195.0,3.0
6594,Super built-up  Area,1.0,1120.0,2.0,40.0,2.0
6595,Built-up  Area,1.0,2700.0,3.0,200.0,3.0
6596,Super built-up  Area,1.0,1805.0,2.0,75.0,3.0
6597,Super built-up  Area,1.0,1100.0,2.0,93.0,2.0
6598,Plot  Area,1.0,1355.0,3.0,135.0,4.0
6599,Built-up  Area,0.0,1677.0,3.0,98.0,3.0
6600,Built-up  Area,1.0,2500.0,8.0,95.0,8.0
6601,Super built-up  Area,1.0,1560.0,3.0,74.0,3.0
6602,Super built-up  Area,1.0,2060.0,3.0,150.0,3.0
6603,Super built-up  Area,1.0,1716.0,2.0,115.0,3.0
6604,Super built-up  Area,1.0,1864.0,3.0,140.0,3.0
6605,Built-up  Area,1.0,638.0,1.0,32.0,1.0
6606,Plot  Area,1.0,1200.0,7.0,95.0,9.0
6607,Super built-up  Area,1.0,1150.0,9.0,170.0,8.0
6608,Super built-up  Area,0.0,937.0,2.0,30.0,2.0
6609,Built-up  Area,1.0,1490.0,2.0,115.0,3.0
6610,Super built-up  Area,1.0,4856.0,5.0,410.0,4.0
6611,Plot  Area,1.0,4003.0,6.0,525.0,4.0
6612,Super built-up  Area,0.0,1100.0,2.0,37.0,2.0
6613,Super built-up  Area,1.0,1000.0,2.0,48.53,2.0
6614,Super built-up  Area,1.0,1060.0,2.0,37.0,2.0
6615,Super built-up  Area,1.0,1047.0,2.0,91.0,2.0
6616,Built-up  Area,1.0,1200.0,2.0,80.0,2.0
6617,Super built-up  Area,1.0,1420.0,2.0,75.0,3.0
6618,Super built-up  Area,1.0,1539.0,3.0,85.0,3.0
6619,Super built-up  Area,1.0,1550.0,3.0,59.0,3.0
6620,Super built-up  Area,1.0,1555.0,3.0,82.0,3.0
6621,Plot  Area,1.0,600.0,6.0,138.0,7.0
6622,Super built-up  Area,1.0,1553.0,3.0,68.0,3.0
6623,Super built-up  Area,1.0,920.0,2.0,26.0,2.0
6624,Super built-up  Area,1.0,1740.0,3.0,120.0,3.0
6625,Super built-up  Area,1.0,1855.0,3.0,145.0,3.0
6626,Super built-up  Area,0.0,1724.0,3.0,146.0,3.0
6627,Super built-up  Area,1.0,1020.0,2.0,60.0,2.0
6628,Plot  Area,1.0,1000.0,4.0,150.0,6.0
6629,Super built-up  Area,1.0,1250.0,2.0,50.0,3.0
6630,Super built-up  Area,1.0,1450.0,3.0,75.0,3.0
6631,Super built-up  Area,1.0,1200.0,2.0,80.0,2.0
6632,Built-up  Area,1.0,1140.0,2.0,58.0,2.0
6633,Plot  Area,1.0,900.0,5.0,110.0,5.0
6634,Super built-up  Area,1.0,550.0,1.0,16.0,1.0
6635,Super built-up  Area,0.0,1450.0,3.0,44.0,3.0
6636,Plot  Area,0.0,1500.0,,25.49,
6637,Super built-up  Area,0.0,700.0,2.0,35.07,2.0
6638,Plot  Area,0.0,1200.0,3.0,56.0,3.0
6639,Super built-up  Area,1.0,1050.0,2.0,45.0,2.0
6640,Super built-up  Area,1.0,1600.0,3.0,69.0,3.0
6641,Super built-up  Area,1.0,1625.0,2.0,75.0,3.0
6642,Super built-up  Area,1.0,1492.0,2.0,65.0,2.0
6643,Super built-up  Area,0.0,2856.0,5.0,157.5,4.0
6644,Super built-up  Area,1.0,1489.0,2.0,82.0,3.0
6645,Super built-up  Area,1.0,1560.0,2.0,62.38,3.0
6646,Super built-up  Area,1.0,1140.0,2.0,42.0,2.0
6647,Super built-up  Area,1.0,1431.0,3.0,65.0,3.0
6648,Super built-up  Area,1.0,1682.0,3.0,114.0,3.0
6649,Super built-up  Area,0.0,1198.0,2.0,86.26,2.0
6650,Plot  Area,0.0,3664.0,3.0,325.0,3.0
6651,Super built-up  Area,1.0,1550.0,2.0,69.75,3.0
6652,Super built-up  Area,1.0,1026.0,2.0,45.0,2.0
6653,Built-up  Area,1.0,1260.0,2.0,52.0,3.0
6654,Plot  Area,1.0,690.0,2.0,42.0,2.0
6655,Super built-up  Area,1.0,539.0,1.0,45.0,1.0
6656,Built-up  Area,1.0,1200.0,4.0,85.0,4.0
6657,Built-up  Area,1.0,2400.0,3.0,120.0,3.0
6658,Super built-up  Area,1.0,1200.0,2.0,79.55,2.0
6659,Plot  Area,1.0,2500.0,5.0,350.0,4.0
6660,Super built-up  Area,1.0,1186.0,2.0,40.0,3.0
6661,Super built-up  Area,1.0,1039.0,2.0,39.5,2.0
6662,Plot  Area,1.0,1500.0,5.0,233.0,4.0
6663,Plot  Area,1.0,1500.0,4.0,100.0,5.0
6664,Super built-up  Area,1.0,2520.0,3.0,150.0,3.0
6665,Built-up  Area,1.0,1225.0,2.0,66.5,2.0
6666,Built-up  Area,1.0,1350.0,2.0,72.0,2.0
6667,Super built-up  Area,1.0,1030.0,2.0,300.0,2.0
6668,Built-up  Area,1.0,1550.0,2.0,49.6,3.0
6669,Super built-up  Area,1.0,1490.0,3.0,79.0,3.0
6670,Super built-up  Area,1.0,1520.0,3.0,111.0,3.0
6671,Plot  Area,1.0,4100.0,4.0,550.0,4.0
6672,Built-up  Area,1.0,1391.0,2.0,64.5,3.0
6673,Super built-up  Area,1.0,1200.0,2.0,50.0,2.0
6674,Plot  Area,1.0,1200.0,4.0,86.0,4.0
6675,Plot  Area,1.0,2500.0,6.0,500.0,5.0
6676,Super built-up  Area,1.0,1322.0,2.0,80.0,2.0
6677,Super built-up  Area,0.0,2173.0,3.0,128.0,3.0
6678,Super built-up  Area,1.0,1200.0,2.0,75.0,2.0
6679,Super built-up  Area,1.0,1200.0,2.0,47.0,2.0
6680,Super built-up  Area,1.0,1170.0,2.0,65.0,2.0
6681,Super built-up  Area,0.0,1125.0,2.0,45.56,2.0
6682,Super built-up  Area,0.0,698.5,1.0,28.57,1.0
6683,Super built-up  Area,1.0,1250.0,2.0,90.0,2.0
6684,Super built-up  Area,0.0,1025.0,2.0,27.68,2.0
6685,Super built-up  Area,1.0,1075.0,2.0,36.0,3.0
6686,Super built-up  Area,1.0,1900.0,2.0,190.0,3.0
6687,Built-up  Area,1.0,1435.0,3.0,45.0,3.0
6688,Super built-up  Area,0.0,1175.0,2.0,64.98,2.0
6689,Super built-up  Area,1.0,1464.0,3.0,56.0,3.0
6690,Built-up  Area,1.0,900.0,2.0,33.0,2.0
6691,Super built-up  Area,1.0,585.0,1.0,21.0,1.0
6692,Plot  Area,1.0,3170.0,5.0,230.0,4.0
6693,Super built-up  Area,0.0,1602.0,2.0,170.0,3.0
6694,Super built-up  Area,1.0,1220.0,2.0,42.0,2.0
6695,Super built-up  Area,1.0,2500.0,3.0,350.0,3.0
6696,Super built-up  Area,1.0,2145.0,3.0,180.0,3.0
6697,Super built-up  Area,1.0,960.0,2.0,58.0,2.0
6698,Super built-up  Area,1.0,907.0,1.0,38.0,1.0
6699,Super built-up  Area,1.0,1210.0,2.0,74.0,2.0
6700,Plot  Area,1.0,900.0,4.0,150.0,4.0
6701,Super built-up  Area,1.0,1230.0,2.0,70.0,2.0
6702,Super built-up  Area,1.0,1350.0,2.0,75.0,3.0
6703,Super built-up  Area,1.0,1150.0,2.0,58.0,2.0
6704,Super built-up  Area,0.0,1404.0,2.0,53.35,3.0
6705,Super built-up  Area,1.0,1050.0,2.0,48.0,2.0
6706,Plot  Area,1.0,1020.0,10.0,155.0,8.0
6707,Super built-up  Area,1.0,1285.0,2.0,56.0,2.0
6708,Super built-up  Area,1.0,1018.0,2.0,50.8,2.0
6709,Plot  Area,1.0,1200.0,3.0,57.0,3.0
6710,Super built-up  Area,1.0,1115.0,2.0,50.0,2.0
6711,Super built-up  Area,1.0,1600.0,3.0,95.0,3.0
6712,Super built-up  Area,0.0,1480.0,2.0,80.0,2.0
6713,Built-up  Area,1.0,2500.0,7.0,125.0,5.0
6714,Built-up  Area,1.0,480.0,1.0,25.0,1.0
6715,Super built-up  Area,1.0,1435.0,3.0,53.0,3.0
6716,Built-up  Area,1.0,450.0,1.0,60.0,1.0
6717,Super built-up  Area,1.0,600.0,2.0,23.0,1.0
6718,Super built-up  Area,1.0,1590.0,2.0,85.0,3.0
6719,Plot  Area,0.0,1730.0,,28.545,
6720,Built-up  Area,1.0,936.0,2.0,40.2,2.0
6721,Super built-up  Area,1.0,1181.0,2.0,75.0,2.0
6722,Super built-up  Area,0.0,1741.0,3.0,80.0,3.0
6723,Super built-up  Area,0.0,1750.0,3.0,123.0,3.0
6724,Super built-up  Area,1.0,1050.0,2.0,42.7,2.0
6725,Super built-up  Area,0.0,1027.0,2.0,60.0,2.0
6726,Built-up  Area,1.0,596.0,2.0,22.0,2.0
6727,Built-up  Area,1.0,3463.0,6.0,310.0,4.0
6728,Built-up  Area,1.0,1600.0,3.0,70.0,3.0
6729,Super built-up  Area,0.0,2790.0,5.0,198.0,4.0
6730,Super built-up  Area,1.0,1000.0,2.0,60.0,2.0
6731,Super built-up  Area,0.0,1120.0,2.0,44.24,2.0
6732,Plot  Area,1.0,1200.0,2.0,85.0,2.0
6733,Super built-up  Area,0.0,1200.0,2.0,35.0,2.0
6734,Super built-up  Area,1.0,1570.0,3.0,110.0,3.0
6735,Super built-up  Area,1.0,1500.0,3.0,135.0,3.0
6736,Built-up  Area,1.0,1315.0,2.0,140.0,2.0
6737,Super built-up  Area,0.0,1140.0,2.0,33.84,2.0
6738,Super built-up  Area,1.0,1105.0,2.0,90.0,2.0
6739,Built-up  Area,0.0,1200.0,2.0,34.65,2.0
6740,Super built-up  Area,0.0,905.0,1.0,62.0,1.0
6741,Plot  Area,1.0,2400.0,4.0,350.0,4.0
6742,Super built-up  Area,1.0,1185.0,2.0,50.0,2.0
6743,Super built-up  Area,1.0,1083.0,2.0,100.0,2.0
6744,Super built-up  Area,1.0,1458.0,3.0,60.0,3.0
6745,Super built-up  Area,1.0,1555.0,3.0,75.0,3.0
6746,Built-up  Area,1.0,1200.0,2.0,45.0,2.0
6747,Super built-up  Area,1.0,1308.0,2.0,58.86,2.0
6748,Super built-up  Area,1.0,1024.0,2.0,44.0,2.0
6749,Super built-up  Area,1.0,1194.0,2.0,47.0,2.0
6750,Super built-up  Area,1.0,1450.0,3.0,75.0,3.0
6751,Super built-up  Area,1.0,1639.0,3.0,120.0,3.0
6752,Super built-up  Area,0.0,1870.0,3.0,138.0,3.0
6753,Super built-up  Area,0.0,1232.0,2.0,87.0,2.0
6754,Super built-up  Area,1.0,1719.0,3.0,184.0,3.0
6755,Super built-up  Area,0.0,975.0,2.0,24.86,2.0
6756,Super built-up  Area,1.0,2000.0,4.0,130.0,3.0
6757,Super built-up  Area,1.0,1230.0,2.0,79.0,2.0
6758,Plot  Area,1.0,1350.0,4.0,140.0,4.0
6759,Super built-up  Area,1.0,1076.0,2.0,67.0,2.0
6760,Built-up  Area,1.0,2400.0,7.0,125.0,7.0
6761,Super built-up  Area,1.0,995.0,2.0,34.82,3.0
6762,Super built-up  Area,1.0,2120.0,3.0,177.0,3.0
6763,Plot  Area,1.0,2400.0,7.0,460.0,6.0
6764,Plot  Area,1.0,850.0,6.0,78.0,6.0
6765,Super built-up  Area,1.0,1096.0,2.0,40.55,2.0
6766,Super built-up  Area,1.0,110783.0,2.0,41.51,2.0
6767,Built-up  Area,1.0,505.0,1.0,85.0,1.0
6768,Super built-up  Area,1.0,1320.0,2.0,115.0,2.0
6769,Super built-up  Area,0.0,1431.5,3.0,72.02,3.0
6770,Super built-up  Area,0.0,1320.0,2.0,99.26,2.0
6771,Super built-up  Area,1.0,2901.0,4.0,190.0,3.0
6772,Built-up  Area,1.0,1315.0,2.0,65.0,3.0
6773,Super built-up  Area,1.0,1000.0,2.0,44.0,2.0
6774,Super built-up  Area,1.0,1596.0,3.0,79.8,3.0
6775,Super built-up  Area,1.0,1750.0,3.0,130.0,3.0
6776,Plot  Area,1.0,2403.0,4.0,270.0,4.0
6777,Super built-up  Area,0.0,1350.0,3.0,47.25,3.0
6778,Super built-up  Area,1.0,4062.5,,341.0,4.0
6779,Super built-up  Area,0.0,1175.0,2.0,79.0,2.0
6780,Super built-up  Area,1.0,921.0,2.0,29.47,2.0
6781,Built-up  Area,1.0,4000.0,4.0,1100.0,4.0
6782,Super built-up  Area,1.0,1713.0,3.0,125.0,3.0
6783,Built-up  Area,1.0,1200.0,2.0,43.0,2.0
6784,Built-up  Area,1.0,1900.0,4.0,90.0,3.0
6785,Super built-up  Area,1.0,1664.0,3.0,68.0,3.0
6786,Super built-up  Area,0.0,1795.0,3.0,139.0,3.0
6787,Built-up  Area,1.0,600.0,1.0,19.5,1.0
6788,Built-up  Area,1.0,1240.0,2.0,65.0,2.0
6789,Super built-up  Area,1.0,1965.0,4.0,132.0,3.0
6790,Plot  Area,1.0,600.0,4.0,99.0,3.0
6791,Plot  Area,1.0,4111.0,4.0,370.0,4.0
6792,Super built-up  Area,0.0,1200.0,2.0,59.76,2.0
6793,Super built-up  Area,1.0,1112.0,2.0,68.0,2.0
6794,Built-up  Area,1.0,3000.0,3.0,60.0,3.0
6795,Super built-up  Area,1.0,1136.0,2.0,64.5,2.0
6796,Super built-up  Area,1.0,914.0,2.0,55.0,2.0
6797,Super built-up  Area,1.0,1270.0,2.0,50.79,3.0
6798,Super built-up  Area,1.0,1050.0,2.0,47.25,2.0
6799,Super built-up  Area,1.0,1385.0,2.0,68.5,3.0
6800,Super built-up  Area,1.0,990.0,2.0,35.0,2.0
6801,Built-up  Area,1.0,845.0,2.0,43.0,2.0
6802,Super built-up  Area,0.0,1485.0,2.0,96.51,2.0
6803,Super built-up  Area,1.0,1460.0,2.0,43.79,3.0
6804,Super built-up  Area,1.0,1450.0,2.0,57.0,2.0
6805,Built-up  Area,1.0,1360.0,2.0,53.0,3.0
6806,Built-up  Area,1.0,1375.0,2.0,58.0,2.0
6807,Super built-up  Area,1.0,1125.0,2.0,48.0,2.0
6808,Super built-up  Area,1.0,720.0,1.0,60.0,1.0
6809,Super built-up  Area,1.0,1460.0,2.0,100.0,3.0
6810,Built-up  Area,1.0,1107.0,2.0,40.0,2.0
6811,Built-up  Area,1.0,1158.0,2.0,75.0,2.0
6812,Super built-up  Area,1.0,800.0,1.0,30.0,2.0
6813,Plot  Area,1.0,600.0,9.0,90.0,9.0
6814,Super built-up  Area,1.0,1760.0,3.0,128.0,3.0
6815,Plot  Area,1.0,3200.0,4.0,200.0,4.0
6816,Plot  Area,0.0,600.0,3.0,145.0,2.0
6817,Built-up  Area,1.0,1350.0,3.0,60.0,3.0
6818,Plot  Area,1.0,600.0,6.0,100.0,6.0
6819,Built-up  Area,0.0,1125.0,2.0,32.49,2.0
6820,Super built-up  Area,1.0,1706.0,3.0,154.0,3.0
6821,Super built-up  Area,1.0,1600.0,3.0,112.0,3.0
6822,Super built-up  Area,1.0,1200.0,2.0,90.0,2.0
6823,Super built-up  Area,1.0,1755.0,3.0,101.0,3.0
6824,Super built-up  Area,1.0,1200.0,2.0,50.0,2.0
6825,Super built-up  Area,1.0,1200.0,2.0,67.0,2.0
6826,Super built-up  Area,1.0,126667.0,2.0,69.0,2.0
6827,Super built-up  Area,1.0,1800.0,3.0,90.0,3.0
6828,Plot  Area,1.0,1200.0,4.0,275.0,3.0
6829,Super built-up  Area,0.0,1300.0,3.0,64.0,3.0
6830,Plot  Area,1.0,800.0,3.0,60.0,3.0
6831,Plot  Area,1.0,4800.0,5.0,550.0,4.0
6832,Super built-up  Area,0.0,1029.5,2.0,50.855,2.0
6833,Super built-up  Area,1.0,1128.0,2.0,40.0,2.0
6834,Plot  Area,1.0,2000.0,2.0,160.0,2.0
6835,Super built-up  Area,0.0,1210.0,2.0,80.0,2.0
6836,Super built-up  Area,0.0,2710.0,6.0,142.0,4.0
6837,Super built-up  Area,1.0,1151.0,2.0,39.0,2.0
6838,Super built-up  Area,0.0,7500.0,8.0,1700.0,5.0
6839,Super built-up  Area,1.0,1464.0,3.0,56.0,3.0
6840,Super built-up  Area,1.0,1017.0,2.0,27.0,2.0
6841,Built-up  Area,1.0,920.0,2.0,40.0,2.0
6842,Plot  Area,1.0,1200.0,3.0,180.0,4.0
6843,Plot  Area,1.0,1000.0,5.0,140.0,5.0
6844,Super built-up  Area,1.0,1750.0,3.0,86.5,3.0
6845,Built-up  Area,1.0,1163.0,2.0,65.0,2.0
6846,Super built-up  Area,1.0,1650.0,3.0,110.0,3.0
6847,Super built-up  Area,1.0,1800.0,3.0,95.0,3.0
6848,Super built-up  Area,1.0,1100.0,2.0,58.0,2.0
6849,Built-up  Area,1.0,1200.0,2.0,60.0,2.0
6850,Super built-up  Area,1.0,1410.0,3.0,65.0,3.0
6851,Super built-up  Area,0.0,1933.0,3.0,98.0,3.0
6852,Super built-up  Area,1.0,1200.0,2.0,45.6,2.0
6853,Super built-up  Area,1.0,1608.0,2.0,63.0,3.0
6854,Plot  Area,1.0,2679.0,5.0,280.0,4.0
6855,Super built-up  Area,1.0,1156.0,2.0,46.9,2.0
6856,Plot  Area,0.0,1230.0,2.0,75.0,2.0
6857,Super built-up  Area,1.0,770.0,1.0,43.82,1.0
6858,Super built-up  Area,1.0,177726.0,3.0,105.0,3.0
6859,Super built-up  Area,1.0,1339.0,2.0,85.0,2.0
6860,Built-up  Area,0.0,3044.0,3.0,183.0,3.0
6861,Built-up  Area,1.0,1080.0,2.0,44.8,2.0
6862,Carpet  Area,1.0,3150.0,5.0,145.0,8.0
6863,Plot  Area,1.0,2400.0,2.0,135.0,2.0
6864,Built-up  Area,1.0,1450.0,3.0,72.0,3.0
6865,Super built-up  Area,0.0,1075.0,2.0,53.0,2.0
6866,Super built-up  Area,1.0,1163.0,2.0,62.0,3.0
6867,Built-up  Area,1.0,1200.0,2.0,65.0,2.0
6868,Plot  Area,1.0,1200.0,8.0,135.0,8.0
6869,Plot  Area,1.0,3090.0,4.0,325.0,4.0
6870,Built-up  Area,1.0,1299.0,2.0,100.0,2.0
6871,Built-up  Area,0.0,1130.0,2.0,32.63,2.0
6872,Super built-up  Area,1.0,1170.0,2.0,75.0,2.0
6873,Super built-up  Area,0.0,2195.0,,152.0,3.0
6874,Super built-up  Area,1.0,2600.0,4.0,175.0,4.0
6875,Super built-up  Area,1.0,1140.0,2.0,43.32,2.0
6876,Super built-up  Area,1.0,1900.0,3.0,125.0,3.0
6877,Built-up  Area,0.0,1090.0,2.0,31.48,2.0
